title;description;url;image
Todo App;A distraction-free web app to help you focus on creating and completing tasks.;https://github.com/zxcvnnvcxz/my-todo-app;1.png
Portfolio Website;A website built entirely in Python to showcase coding projects and apps.;https://github.com/zxcvnnvcxz/web-professional-portfolio;2.png
PDF Templates;A script that generates PDF templates of multiple pages given some predefined guidelines.;https://github.com/zxcvnnvcxz/pdf-template;3.png
PDF Invoices;A script that reads invoice records from Excel files and automatically generates PDF invoices.;https://github.com/zxcvnnvcxz/pdf-invoices;4.png
Daily Email Newsletter;A script that gets data from a news API and uses sentiment analysis to email you only positive news.;https://github.com/zxcvnnvcxz/daily-email-newsletter;5.png
Weather API;A REST API built with Python and Flask to serve historical weather data for various cities.;https://github.com/zxcvnnvcxz/weather-api;6.png
Weather Forecast;A data web app that visualizes the weather forecast for the next five days of any city.;https://github.com/zxcvnnvcxz/weather-forecast-data-app;7.png
Tour Scraper;A program that checks a music band's website and sends an email when there are new tours.;https://github.com/zxcvnnvcxz/web-scraper-app;8.png
Hotel Booking App;A simple program that allows an user to book a hotel and get a confirmation receipt.;https://github.com/zxcvnnvcxz/hotel-booking-app;9.png
Webcam Motion Detector;A program that monitors the computer webcam and sends an email when a new object enters the view.;https://github.com/zxcvnnvcxz/webcam-motion-detector;11.png
Web Automation;A web automation app that will browse a specific web page and downloads a file.;https://github.com/zxcvnnvcxz/web-automation-gui;12.png
ML Movie Recommendation;A machine learning app that will generate a movie recommendation based on user history.;https://github.com/zxcvnnvcxz/machine-learning-movie-recommendation-app;13.png
Flask Web App;A online web app for a Job Application Submit Form page built with Flask.;https://github.com/zxcvnnvcxz/job-application-web-app-flask;14.png
Django Web App;A online web app for a Job Application Submit Form page built with Django.;https://github.com/zxcvnnvcxz/food-order-management-app-django;15.png
Student Management System - SQLite;A desktop PyQt6 GUI app utilising SQLite for managing university student data with an SQL database backend.;https://github.com/zxcvnnvcxz/sqlite-student-ms;17.png
Student Management System - MySQL;A desktop PyQt6 GUI app utilising MySQL for managing complex university data with an SQL database backend.;https://github.com/zxcvnnvcxz/mysql-student-ms;18.png
Restaurant Menu Web App;A Django web app to let customers see a restaurant menu and meal availability.;https://github.com/zxcvnnvcxz/food-order-management-app-django;19.png